delegation,secteur,acquisition_des_geniteurs_ovins_nb,acquisition_des_geniteurs_caprins_nb,acquisition_des_geniteurs_bovins_nb,insemination_artificielle_nb,amenagement_des_petits_perimetres_irrigues_montagneux_ha,region_id,matched_region_ar,matched_region_fr
سجنان,المعالية,9,0,0,445,0,406,سجنان,sjnan
سجنان,سجنان,6,0,0,79,0,406,سجنان,sjnan
سجنان,المشارقة,5,7,0,630,0,406,سجنان,sjnan
سجنان,العبابسة,1,1,1,729,0,406,سجنان,sjnan
سجنان,السحابنة,17,2,0,29,0,406,سجنان,sjnan
سجنان,امادن,2,0,0,181,0,406,سجنان,sjnan
سجنان,سيدي مشرق,1,12,1,44,0,406,سجنان,sjnan
سجنان,الحشاشنة,2,0,0,123,0,406,سجنان,sjnan
غزالة,اولاد المي,5,3,2,182,0,386,غزالة,ghzala
غزالة,العرب,20,5,4,470,0,386,غزالة,ghzala
جومين,الطواجنية,5,0,3,488,1,413,جومين,joumin
جومين,بازينة,5,0,0,314,0,413,جومين,joumin
جومين,اولاد غانم,12,0,0,305,0,413,جومين,joumin
جومين,الشنانة,4,0,0,593,0,413,جومين,joumin
جومين,رواحة,4,0,1,406,0,413,جومين,joumin
